-- SG    KRG    KROG   PCOG
SGOF
0.19183673 0.01041233 0.61152980 0.00031969
0.20102041 0.01259892 0.59531674 0.00032402
0.21020408 0.01499375 0.57932150 0.00032846
0.21938776 0.01759683 0.56354408 0.00033302
0.22857143 0.02040816 0.54798448 0.00033772
0.23775510 0.02342774 0.53264270 0.00034255
0.24693878 0.02665556 0.51751874 0.00034752
0.25612245 0.03009163 0.50261260 0.00035263
0.26530612 0.03373594 0.48792428 0.00035790
0.27448980 0.03758850 0.47345378 0.00036333
0.28367347 0.04164931 0.45920110 0.00036893
0.29285714 0.04591837 0.44516624 0.00037470
0.30204082 0.05039567 0.43134920 0.00038065
0.31122449 0.05508122 0.41774998 0.00038680
0.32040816 0.05997501 0.40436857 0.00039314
0.32959184 0.06507705 0.39120499 0.00039970
0.33877551 0.07038734 0.37825923 0.00040649
0.34795918 0.07590587 0.36553129 0.00041350
0.35714286 0.08163265 0.35302117 0.00042077
0.36632653 0.08756768 0.34072887 0.00042829
0.37551020 0.09371095 0.32865438 0.00043608
0.38469388 0.10006247 0.31679772 0.00044417
0.39387755 0.10662224 0.30515888 0.00045256
0.40306122 0.11339025 0.29373786 0.00046128
0.41224490 0.12036651 0.28253465 0.00047033
0.42142857 0.12755102 0.27154927 0.00047975
0.43061224 0.13494377 0.26078171 0.00048955
0.43979592 0.14254477 0.25023196 0.00049977
0.44897959 0.15035402 0.23990004 0.00051042
0.45816327 0.15837151 0.22978594 0.00052153
0.46734694 0.16659725 0.21988966 0.00053314
0.47653061 0.17503124 0.21021119 0.00054527
0.48571429 0.18367347 0.20075055 0.00055797
0.49489796 0.19252395 0.19150772 0.00057128
0.50408163 0.20158267 0.18248272 0.00058523
0.51326531 0.21084965 0.17367554 0.00059989
0.52244898 0.22032486 0.16508617 0.00061530
0.53163265 0.23000833 0.15671463 0.00063152
0.54081633 0.23990004 0.14856090 0.00064862
0.55000000 0.25000000 0.14062500 0.00066667
0.55918367 0.26030820 0.13290692 0.00068575
0.56836735 0.27082466 0.12540665 0.00070596
0.57755102 0.28154935 0.11812421 0.00072740
0.58673469 0.29248230 0.11105958 0.00075017
0.59591837 0.30362349 0.10421278 0.00077443
0.60510204 0.31497293 0.09758379 0.00080030
0.61428571 0.32653061 0.09117263 0.00082796
0.62346939 0.33829654 0.08497928 0.00085760
0.63265306 0.35027072 0.07900376 0.00088944
0.64183673 0.36245314 0.07324605 0.00092374
0.65102041 0.37484382 0.06770616 0.00096078
0.66020408 0.38744273 0.06238410 0.00100093
0.66938776 0.40024990 0.05727985 0.00104457
0.67857143 0.41326531 0.05239343 0.00109220
0.68775510 0.42648896 0.04772482 0.00114437
0.69693878 0.43992087 0.04327403 0.00120178
0.70612245 0.45356102 0.03904107 0.00126526
0.71530612 0.46740941 0.03502592 0.00133581
0.72448980 0.48146606 0.03122859 0.00141470
0.73367347 0.49573095 0.02764909 0.00150349
0.74285714 0.51020408 0.02428740 0.00160417
0.75204082 0.52488546 0.02114353 0.00171930
0.76122449 0.53977509 0.01821749 0.00185223
0.77040816 0.55487297 0.01550926 0.00200745
0.77959184 0.57017909 0.01301885 0.00219105
0.78877551 0.58569346 0.01074626 0.00241163
0.79795918 0.60141608 0.00869150 0.00268159
0.80714286 0.61734694 0.00685455 0.00301960
0.81632653 0.63348605 0.00523542 0.00345512
0.82551020 0.64983340 0.00383411 0.00403743
0.83469388 0.66638900 0.00265063 0.00485582
0.84387755 0.68315285 0.00168496 0.00609033
0.85306122 0.70012495 0.00093711 0.00816651
0.86224490 0.71730529 0.00040708 0.01239025
0.87142857 0.73469388 0.00009487 0.02566176
0.88061224 0.75229071 0.00000000 0.95000000
0.88979592 0.77009579 0.00000000 0.95000000
0.89897959 0.78810912 0.00000000 0.95000000
0.90816327 0.80633070 0.00000000 0.95000000
0.91734694 0.82476052 0.00000000 0.95000000
0.92653061 0.84339858 0.00000000 0.95000000
0.93571429 0.86224490 0.00000000 0.95000000
0.94489796 0.88129946 0.00000000 0.95000000
0.95408163 0.90056227 0.00000000 0.95000000
0.96326531 0.92003332 0.00000000 0.95000000
0.97244898 0.93971262 0.00000000 0.95000000
0.98163265 0.95960017 0.00000000 0.95000000
0.99081633 0.97969596 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00010000
0.10000000 0.00000000 0.78564050 0.00011282
0.10918367 0.00010412 0.76724924 0.00011416
0.11836735 0.00041649 0.74907580 0.00011554
0.12755102 0.00093711 0.73112018 0.00011695
0.13673469 0.00166597 0.71338238 0.00011840
0.14591837 0.00260308 0.69586240 0.00011988
0.15510204 0.00374844 0.67856024 0.00012140
0.16428571 0.00510204 0.66147590 0.00012295
0.17346939 0.00666389 0.64460938 0.00012455
0.18265306 0.00843399 0.62796068 0.00012619
0.19183673 0.01041233 0.61152980 0.00012788
0.20102041 0.01259892 0.59531674 0.00012961
0.21020408 0.01499375 0.57932150 0.00013138
0.21938776 0.01759683 0.56354408 0.00013321
0.22857143 0.02040816 0.54798448 0.00013509
0.23775510 0.02342774 0.53264270 0.00013702
0.24693878 0.02665556 0.51751874 0.00013901
0.25612245 0.03009163 0.50261260 0.00014105
0.26530612 0.03373594 0.48792428 0.00014316
0.27448980 0.03758850 0.47345378 0.00014533
0.28367347 0.04164931 0.45920110 0.00014757
0.29285714 0.04591837 0.44516624 0.00014988
0.30204082 0.05039567 0.43134920 0.00015226
0.31122449 0.05508122 0.41774998 0.00015472
0.32040816 0.05997501 0.40436857 0.00015726
0.32959184 0.06507705 0.39120499 0.00015988
0.33877551 0.07038734 0.37825923 0.00016259
0.34795918 0.07590587 0.36553129 0.00016540
0.35714286 0.08163265 0.35302117 0.00016831
0.36632653 0.08756768 0.34072887 0.00017132
0.37551020 0.09371095 0.32865438 0.00017443
0.38469388 0.10006247 0.31679772 0.00017767
0.39387755 0.10662224 0.30515888 0.00018102
0.40306122 0.11339025 0.29373786 0.00018451
0.41224490 0.12036651 0.28253465 0.00018813
0.42142857 0.12755102 0.27154927 0.00019190
0.43061224 0.13494377 0.26078171 0.00019582
0.43979592 0.14254477 0.25023196 0.00019991
0.44897959 0.15035402 0.23990004 0.00020417
0.45816327 0.15837151 0.22978594 0.00020861
0.46734694 0.16659725 0.21988966 0.00021325
0.47653061 0.17503124 0.21021119 0.00021811
0.48571429 0.18367347 0.20075055 0.00022319
0.49489796 0.19252395 0.19150772 0.00022851
0.50408163 0.20158267 0.18248272 0.00023409
0.51326531 0.21084965 0.17367554 0.00023996
0.52244898 0.22032486 0.16508617 0.00024612
0.53163265 0.23000833 0.15671463 0.00025261
0.54081633 0.23990004 0.14856090 0.00025945
0.55000000 0.25000000 0.14062500 0.00026667
0.55918367 0.26030820 0.13290692 0.00027430
0.56836735 0.27082466 0.12540665 0.00028238
0.57755102 0.28154935 0.11812421 0.00029096
0.58673469 0.29248230 0.11105958 0.00030007
0.59591837 0.30362349 0.10421278 0.00030977
0.60510204 0.31497293 0.09758379 0.00032012
0.61428571 0.32653061 0.09117263 0.00033118
0.62346939 0.33829654 0.08497928 0.00034304
0.63265306 0.35027072 0.07900376 0.00035578
0.64183673 0.36245314 0.07324605 0.00036949
0.65102041 0.37484382 0.06770616 0.00038431
0.66020408 0.38744273 0.06238410 0.00040037
0.66938776 0.40024990 0.05727985 0.00041783
0.67857143 0.41326531 0.05239343 0.00043688
0.68775510 0.42648896 0.04772482 0.00045775
0.69693878 0.43992087 0.04327403 0.00048071
0.70612245 0.45356102 0.03904107 0.00050610
0.71530612 0.46740941 0.03502592 0.00053432
0.72448980 0.48146606 0.03122859 0.00056588
0.73367347 0.49573095 0.02764909 0.00060139
0.74285714 0.51020408 0.02428740 0.00064167
0.75204082 0.52488546 0.02114353 0.00068772
0.76122449 0.53977509 0.01821749 0.00074089
0.77040816 0.55487297 0.01550926 0.00080298
0.77959184 0.57017909 0.01301885 0.00087642
0.78877551 0.58569346 0.01074626 0.00096465
0.79795918 0.60141608 0.00869150 0.00107264
0.80714286 0.61734694 0.00685455 0.00120784
0.81632653 0.63348605 0.00523542 0.00138205
0.82551020 0.64983340 0.00383411 0.00161498
0.83469388 0.66638900 0.00265063 0.00194234
0.84387755 0.68315285 0.00168496 0.00243615
0.85306122 0.70012495 0.00093711 0.00326666
0.86224490 0.71730529 0.00040708 0.00495629
0.87142857 0.73469388 0.00009487 0.01026635
0.88061224 0.75229071 0.00000000 0.95000000
0.88979592 0.77009579 0.00000000 0.95000000
0.89897959 0.78810912 0.00000000 0.95000000
0.90816327 0.80633070 0.00000000 0.95000000
0.91734694 0.82476052 0.00000000 0.95000000
0.92653061 0.84339858 0.00000000 0.95000000
0.93571429 0.86224490 0.00000000 0.95000000
0.94489796 0.88129946 0.00000000 0.95000000
0.95408163 0.90056227 0.00000000 0.95000000
0.96326531 0.92003332 0.00000000 0.95000000
0.97244898 0.93971262 0.00000000 0.95000000
0.98163265 0.95960017 0.00000000 0.95000000
0.99081633 0.97969596 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00001000
0.10000000 0.00000000 0.79012346 0.00001125
0.10918367 0.00010412 0.77208699 0.00001138
0.11836735 0.00041649 0.75425877 0.00001151
0.12755102 0.00093711 0.73663880 0.00001165
0.13673469 0.00166597 0.71922707 0.00001179
0.14591837 0.00260308 0.70202359 0.00001194
0.15510204 0.00374844 0.68502836 0.00001208
0.16428571 0.00510204 0.66824137 0.00001223
0.17346939 0.00666389 0.65166263 0.00001239
0.18265306 0.00843399 0.63529214 0.00001255
0.19183673 0.01041233 0.61912989 0.00001271
0.20102041 0.01259892 0.60317589 0.00001288
0.21020408 0.01499375 0.58743013 0.00001305
0.21938776 0.01759683 0.57189263 0.00001322
0.22857143 0.02040816 0.55656337 0.00001340
0.23775510 0.02342774 0.54144235 0.00001359
0.24693878 0.02665556 0.52652958 0.00001378
0.25612245 0.03009163 0.51182506 0.00001398
0.26530612 0.03373594 0.49732879 0.00001418
0.27448980 0.03758850 0.48304076 0.00001439
0.28367347 0.04164931 0.46896098 0.00001460
0.29285714 0.04591837 0.45508944 0.00001482
0.30204082 0.05039567 0.44142615 0.00001505
0.31122449 0.05508122 0.42797111 0.00001529
0.32040816 0.05997501 0.41472432 0.00001553
0.32959184 0.06507705 0.40168577 0.00001578
0.33877551 0.07038734 0.38885547 0.00001604
0.34795918 0.07590587 0.37623341 0.00001630
0.35714286 0.08163265 0.36381960 0.00001658
