# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
3.22465000000e+02, 2.01453061224e+05, 9.88387027388e+02, 5.52880867307e-04, 2.06640844182e+05
3.22465000000e+02, 2.04487244898e+05, 9.88388351489e+02, 5.52881466573e-04, 2.06643465527e+05
3.22465000000e+02, 2.07521428571e+05, 9.88389675581e+02, 5.52882065845e-04, 2.06646086869e+05
3.22465000000e+02, 2.10555612245e+05, 9.88390999664e+02, 5.52882665123e-04, 2.06648708208e+05
3.22465000000e+02, 2.13589795918e+05, 9.88392323738e+02, 5.52883264407e-04, 2.06651329544e+05
3.22465000000e+02, 2.16623979592e+05, 9.88393647804e+02, 5.52883863696e-04, 2.06653950877e+05
3.22465000000e+02, 2.19658163265e+05, 9.88394971860e+02, 5.52884462992e-04, 2.06656572206e+05
3.22465000000e+02, 2.22692346939e+05, 9.88396295907e+02, 5.52885062293e-04, 2.06659193532e+05
3.22465000000e+02, 2.25726530612e+05, 9.88397619945e+02, 5.52885661600e-04, 2.06661814856e+05
3.22465000000e+02, 2.28760714286e+05, 9.88398943974e+02, 5.52886260913e-04, 2.06664436175e+05
3.22465000000e+02, 2.31794897959e+05, 9.88400267994e+02, 5.52886860231e-04, 2.06667057492e+05
3.22465000000e+02, 2.34829081633e+05, 9.88401592006e+02, 5.52887459556e-04, 2.06669678806e+05
3.22465000000e+02, 2.37863265306e+05, 9.88402916008e+02, 5.52888058886e-04, 2.06672300116e+05
3.22465000000e+02, 2.40897448980e+05, 9.88404240001e+02, 5.52888658223e-04, 2.06674921424e+05
3.22465000000e+02, 2.43931632653e+05, 9.88405563985e+02, 5.52889257565e-04, 2.06677542728e+05
3.22465000000e+02, 2.46965816327e+05, 9.88406887960e+02, 5.52889856912e-04, 2.06680164028e+05
3.22465000000e+02, 2.50000000000e+05, 9.88408211926e+02, 5.52890456266e-04, 2.06682785326e+05
