# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
3.22465000000e+02, 2.07521428571e+05, 3.43376834617e+00, 1.60835658379e-05, 5.25975967747e+05
3.22465000000e+02, 2.10555612245e+05, 3.48438528113e+00, 1.60839245009e-05, 5.25952022767e+05
3.22465000000e+02, 2.13589795918e+05, 3.53501423576e+00, 1.60842835054e-05, 5.25928073238e+05
3.22465000000e+02, 2.16623979592e+05, 3.58565521688e+00, 1.60846428516e-05, 5.25904119156e+05
3.22465000000e+02, 2.19658163265e+05, 3.63630823129e+00, 1.60850025399e-05, 5.25880160521e+05
3.22465000000e+02, 2.22692346939e+05, 3.68697328582e+00, 1.60853625705e-05, 5.25856197329e+05
3.22465000000e+02, 2.25726530612e+05, 3.73765038728e+00, 1.60857229436e-05, 5.25832229579e+05
3.22465000000e+02, 2.28760714286e+05, 3.78833954251e+00, 1.60860836596e-05, 5.25808257267e+05
3.22465000000e+02, 2.31794897959e+05, 3.83904075835e+00, 1.60864447186e-05, 5.25784280393e+05
3.22465000000e+02, 2.34829081633e+05, 3.88975404164e+00, 1.60868061209e-05, 5.25760298952e+05
3.22465000000e+02, 2.37863265306e+05, 3.94047939922e+00, 1.60871678668e-05, 5.25736312944e+05
3.22465000000e+02, 2.40897448980e+05, 3.99121683795e+00, 1.60875299565e-05, 5.25712322366e+05
3.22465000000e+02, 2.43931632653e+05, 4.04196636470e+00, 1.60878923904e-05, 5.25688327215e+05
3.22465000000e+02, 2.46965816327e+05, 4.09272798633e+00, 1.60882551685e-05, 5.25664327489e+05
3.22465000000e+02, 2.50000000000e+05, 4.14350170972e+00, 1.60886182913e-05, 5.25640323186e+05
